epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
64,41527.4,1.07025,1.0516,1.34581,0.7537,0.6332,0.70255,0.41292,1.35509,1.23017,1.68953,0.0007526,0.0007526,0.0007526
65,42112.4,1.0512,1.02731,1.3388,0.74213,0.62782,0.69487,0.41096,1.38436,1.25863,1.7155,0.0007328,0.0007328,0.0007328
66,42698.4,1.03642,1.0119,1.31794,0.80403,0.62934,0.71658,0.42663,1.3453,1.23809,1.6651,0.000713,0.000713,0.000713
67,43286.6,1.02801,1.01113,1.32435,0.78077,0.63514,0.71463,0.43167,1.34629,1.19017,1.67084,0.0006932,0.0006932,0.0006932
68,43872.2,1.0154,1.00769,1.31649,0.74005,0.65251,0.71325,0.41866,1.37602,1.21202,1.67796,0.0006734,0.0006734,0.0006734
69,44457.2,1.01041,0.9992,1.31376,0.74298,0.67181,0.71367,0.43316,1.35979,1.17933,1.68717,0.0006536,0.0006536,0.0006536
70,45046.6,1.05509,1.02136,1.33024,0.81981,0.60605,0.70387,0.41209,1.37936,1.2289,1.72366,0.0006338,0.0006338,0.0006338
71,45633.1,0.99484,0.97637,1.30544,0.77186,0.67568,0.74261,0.42136,1.33751,1.17223,1.67038,0.000614,0.000614,0.000614
72,46218.9,1.00904,0.96076,1.313,0.79415,0.6139,0.711,0.42273,1.3524,1.22873,1.67139,0.0005942,0.0005942,0.0005942
73,46804.8,0.99231,0.96937,1.30433,0.80468,0.65444,0.74125,0.44186,1.34007,1.16734,1.67172,0.0005744,0.0005744,0.0005744
74,47390.3,0.9907,0.94682,1.2921,0.7614,0.66602,0.72585,0.43188,1.34178,1.22272,1.67103,0.0005546,0.0005546,0.0005546
75,47974.8,0.99928,0.94129,1.29905,0.80645,0.62739,0.70455,0.42007,1.37647,1.24528,1.70402,0.0005348,0.0005348,0.0005348
